,date,name,point
0,2021-01-01,가나의 혼인잔치: 언약,9.59
1,2021-01-01,언플랜드,9.52
2,2021-01-01,극장판 바이올렛 에버가든,9.49
3,2021-01-01,부활: 그 증거,9.40
4,2021-01-01,소년시절의 너,9.39
5,2021-01-01,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26
6,2021-01-01,일 포스티노,9.16
7,2021-01-01,제리 맥과이어,9.16
8,2021-01-01,사랑의 블랙홀,9.15
9,2021-01-01,러브레터,9.12
10,2021-01-01,타오르는 여인의 초상,9.07
11,2021-01-01,글루미 선데이,9.06
12,2021-01-01,당신이 잠든 사이에,9.06
13,2021-01-01,노트북,9.05
14,2021-01-01,비긴 어게인,9.04
15,2021-01-01,굿바이,9.04
16,2021-01-01,"조제, 호랑이 그리고 물고기들",9.00
17,2021-01-01,윤희에게,8.98
18,2021-01-01,남매의 여름밤,8.96
19,2021-01-01,러브 액츄얼리,8.93
20,2021-01-01,담보,8.91
21,2021-01-01,해리가 샐리를 만났을 때,8.89
22,2021-01-01,화양연화,8.80
23,2021-01-01,찬실이는 복도 많지,8.72
24,2021-01-01,귀여운 여인,8.70
25,2021-01-01,피아노,8.66
26,2021-01-01,캡틴 판타스틱,8.65
27,2021-01-01,퐁네프의 연인들,8.63
28,2021-01-01,라라랜드,8.61
29,2021-01-01,철도원,8.59
30,2021-01-01,아비정전,8.50
31,2021-01-01,레토,8.43
32,2021-01-01,삼진그룹 영어토익반,8.36
33,2021-01-01,테넷,8.20
34,2021-01-01,런,8.17
35,2021-01-01,하나와 앨리스,8.11
36,2021-01-01,일대종사,8.01
37,2021-01-01,존 윅 3: 파라벨룸,8.01
38,2021-01-01,아이 엠 러브,7.85
39,2021-01-01,펀치 드렁크 러브,7.72
40,2021-01-01,루비 스팍스,7.51
41,2021-01-01,도굴,7.36
42,2021-01-01,애비규환,7.02
43,2021-01-01,프리키 데스데이,6.84
44,2021-01-01,조제,6.65
45,2021-01-01,이웃사촌,5.98
46,2021-01-01,원더 우먼 1984,5.49
47,2021-01-01,800,3.60
48,2021-01-02,가나의 혼인잔치: 언약,9.56
49,2021-01-02,언플랜드,9.50
50,2021-01-02,극장판 바이올렛 에버가든,9.50
51,2021-01-02,부활: 그 증거,9.40
52,2021-01-02,소년시절의 너,9.39
53,2021-01-02,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26
54,2021-01-02,일 포스티노,9.16
55,2021-01-02,제리 맥과이어,9.16
56,2021-01-02,사랑의 블랙홀,9.15
57,2021-01-02,러브레터,9.12
58,2021-01-02,타오르는 여인의 초상,9.07
59,2021-01-02,글루미 선데이,9.06
60,2021-01-02,당신이 잠든 사이에,9.06
61,2021-01-02,노트북,9.05
62,2021-01-02,비긴 어게인,9.04
63,2021-01-02,굿바이,9.04
64,2021-01-02,"조제, 호랑이 그리고 물고기들",9.00
65,2021-01-02,윤희에게,8.99
66,2021-01-02,남매의 여름밤,8.96
67,2021-01-02,러브 액츄얼리,8.93
68,2021-01-02,담보,8.91
69,2021-01-02,해리가 샐리를 만났을 때,8.89
70,2021-01-02,화양연화,8.79
71,2021-01-02,찬실이는 복도 많지,8.72
72,2021-01-02,귀여운 여인,8.70
73,2021-01-02,피아노,8.66
74,2021-01-02,캡틴 판타스틱,8.65
75,2021-01-02,퐁네프의 연인들,8.63
